,FKZ,Zuwendungsempfänger,Ausführende Stelle,Thema,Leistungsplansystematik,Klartext Leistungsplansystematik,Laufzeit von,Laufzeit bis,Fördersumme in EUR,Förderprofil,Verbundprojekt,Förderart,year,accelerator_related
57,05298GDI/0,Berliner Elektronenspeicherring-Gesellschaft für Synchrotronstrahlung m.b.H. ( BESSY ),Berliner Elektronenspeicherring-Gesellschaft für Synchrotronstrahlung m.b.H. ( BESSY ),Bau und Inbetriebnahme eines Multipol-Wigglers/Undulators,U06005,BESSY,1983-11-01,1988-03-31,1188411,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,1983,True
332,051001QI,Technische Universität Dortmund,Technische Universität Dortmund - Fakultät Physik,"Experimente im Neutralen K-Mesonen-Strahl des 25 Gev-Protonen-Synchrotrons, Aufbau einer Neutrino-Zähler-Apparatur für Experimente am 400 Gev-Beschleuniger von CERN II",U01011,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN,1974-07-01,1977-03-31,762011,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,1974,True
384,051DO1Q,Technische Universität Dortmund,Technische Universität Dortmund - Fakultät Physik - Lehrstuhl Experimentelle Physik IV,"Untersuchung hochenergetischer Neutrinoreaktionen am 400 Gev-Beschleuniger vom CERN, Abschluß des Aufbaus der Meßapparatur sowie Erweiterung um ein Wasserstoff/Deuterium-Target",U01011,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN,1977-01-01,1980-06-30,372928,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,1977,True
482,057BU26P/1,Humboldt-Universität zu Berlin,Humboldt-Universität zu Berlin - Mathematisch-Naturwissenschaftliche Fakultät I - Institut für Physik - Elementarteilchenphysik - Experimentelle Elementarteilchenphysik II,"1.) L3 - Experiment am Beschleuniger LEP, CERN",U01011,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN,1996-01-04,2001-04-30,407425,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,1996,True
524,05HT9PBA/2,Universität Bielefeld,Universität Bielefeld - Fakultät für Physik,"Prozesse der elektroschwachen Wechselwirkung, insbesondere W-Paarerzeugung, bei LEP2 und zukünftigen Linearbeschleunigern. Diffraktive Prozesse und Protonstruktur (HERA).",U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,1999-04-01,2002-03-31,105747,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,1999,True
526,05HT9WWA/9,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg - Fakultät für Physik und Astronomie - Institut für Theoretische Physik und Astrophysik,Physik von Leptonen und Quarks und die Phänomenologie neuer Teilchen und Wechselwirkungen an Beschleunigeranlagen bei hohen Energien,U01013,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten beim CERN und bei DESY,1999-04-01,2001-03-31,103649,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,1999,True
533,05EB8KT1/8,Technische Universität Berlin,Technische Universität Berlin - Fakultät IV - Elektrotechnik und Informatik - Institut für Technische Informatik und Mikroelektronik,Bau eines vektoriellen Netzwerkanalysators im W-Band (75-110 GHz),U05073,Technologische Entwicklung- Beschleunigertechnologie,1998-11-05,1999-05-31,51129,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,1998,True
555,GS12001U,GSI Helmholtzzentrum für Schwerionenforschung GmbH,Gesellschaft für Schwerionenforschung mit beschränkter Haftung - Abt. Beschleunigertechnik,Verbesserung der Strahlqualität und Zuverlässigkeit der GSI-Beschleunigeranlagen 1. Erhöhung der Raumladungsströme im SIS 12/18 2. Anhebung der Stromgrenzen für Vorbeschleuniger - 3. Verbesserung der Verfügbarkeit des UNILAC-Strahls,PD3100,"=""",2001-09-01,2002-06-30,664679,Forschung und Entwicklung zur Daseinsvorsorge,"=""",PDIR,2001,True
569,05HF4PXA/4,Bergische Universität Wuppertal,Bergische Universität Wuppertal - Fachbereich C - Mathematik und Naturwissenschaften - Fachgruppe Physik,FERMILAB-TEVATRON-D0: Beteiligung am D0 Experiment am Fermilab Proton-Antiproton Beschleuniger,U01019,Struktur und Wechselwirkung fundamentaler Teilchen - Sonstiges,2004-04-01,2006-06-30,262500,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2004,True
575,05HS4PAA/3,Rheinisch-Westfälische Technische Hochschule Aachen,Rheinisch-Westfälische Technische Hochschule Aachen - Fakultät 1 - Mathematik - Informatik - Naturwissenschaften - Fachgruppe Physik - III. Physikalisches Institut B,DESY-LINEARBESCHLEUNIGER: Entwicklung einer zentralen Spurkammer für einen Detektor am Elektron-Positron Linear Collider,U01012,Struktur und Wechselwirkung fundamentaler Teilchen - Aktivitäten bei DESY,2004-01-01,2006-12-31,118000,Erkenntnisorientierte und programmübergreifende Grundlagenforschung,"=""",PDIR,2004,True
